"gender","title","discipline","last_published","academia_length","phd_dissertation","bat_1","bat_2","bat_3","bat_4","ppqr_1","ppqr_2","ppqr_3","ppqr_4","ppqr_5","ppqr_6","ppqr_7","ppqr_8","ppqr_9","ppqr_10","ppqr_11","ppqr_12","ppqr_13","ppqr_14","ppqr_15","ppqr_16","ppqr_17","ppqr_18","jis_1","jis_2","jis_3","jis_4","wlbm_1","wlbm_2","wlbm_3","wlbm_4","copsoq_workload_1","copsoq_workload_2","copsoq_workload_3","copsoq_workload_4","copsoq_soc_sup_1","copsoq_soc_sup_2","copsoq_soc_sup_3","copsoq_soc_sup_4","copsoq_soc_sup_5","copsoq_soc_sup_6","copsoq_oppor_1","copsoq_oppor_2","copsoq_oppor_3","qrp_attitude_1","qrp_attitude_2","qrp_attitude_3","qrp_attitude_4","qrp_attitude_5","qrp_attitude_6","qrp_attitude_7","qrp_attitude_8","copsoq_infl_1","copsoq_infl_2","copsoq_infl_3","copsoq_infl_4","copsoq_infl_5","copsoq_infl_6","copsoq_meaning_1","copsoq_meaning_2","role_ambiguity_1","role_ambiguity_2","role_ambiguity_3","role_ambiguity_4","role_ambiguity_5","role_ambiguity_6","role_ambiguity_7","role_ambiguity_8","role_ambiguity_9","role_ambiguity_10","role_ambiguity_11","role_ambiguity_12","pay_satisfaction_1","pay_satisfaction_2","tool_satisfaction_1","tool_satisfaction_2","general_satisfaction_1","general_satisfaction_2","anonym_id"
"Woman","PhD student","STEM (science, technology, engineering, mathematics)","In the last year","1-5 years","1-2 articles","Often","Sometimes","Never","Often","Strongly agree","Agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Disagree","Disagree","Agree","Disagree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Always","Often","Often","Rarely","Always","Always","Sometimes","Often","Often","Sometimes","Always","Sometimes","Often","Completely unacceptable","Completely unacceptable","Neither acceptable or unacceptable","Somewhat unacceptable","Somewhat unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Sometimes","Rarely","Rarely","Sometimes","Sometimes","Often","Sometimes","Sometimes","Slightly agree","Slightly agree","Slightly disagree","Agree","Slightly disagree","Slightly agree","Strongly agree","Neither agree nor disagree","Disagree","Disagree","Neither agree nor disagree","Strongly disagree","Dissatisfied","Very dissatisfied","Satisfied","Neither satisfied nor dissatisfied","Slightly satisfied","Slightly satisfied",156
"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years","","Sometimes","Sometimes","Rarely","Often","Agree","Strongly agree","Strongly agree","Agree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Agree","Neither agree nor disagree","Strongly agree","Disagree","Strongly agree","Neither agree nor disagree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Often","Never","Always","Never","Often","Sometimes","Rarely","Often","Often","Rarely","Often","Often","Often","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat acceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Often","Sometimes","Rarely","Often","Rarely","Often","Often","Often","Slightly disagree","Strongly agree","Strongly disagree","Slightly disagree","Slightly agree","Slightly disagree","Agree","Strongly disagree","Slightly agree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Satisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Satisfied",157
"Woman","Full Professor","Non-STEM","This year","More than 10 years","","Often","Sometimes","Rarely","Sometimes","Strongly disagree","Agree","Strongly agree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Strongly disagree","Agree","Agree","Strongly agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Always","Sometimes","Always","Rarely","Always","Always","Sometimes","Often","Always","Sometimes","Often","Often","Often","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Often","Often","Sometimes","Often","Often","Often","Often","Often","Agree","Neither agree nor disagree","Neither agree nor disagree","Slightly agree","Slightly disagree","Neither agree nor disagree","Slightly agree","Slightly disagree","Disagree","Strongly disagree","Slightly disagree","Strongly disagree","Very satisfied","Very satisfied","Slightly satisfied","Satisfied","Satisfied","Slightly satisfied",158
"Woman","PhD student","Non-STEM","This year","1-5 years","1-2 articles","Often","Sometimes","Rarely","Often","Agree","Agree","Disagree","Disagree","Agree","Disagree","Neither agree nor disagree","Agree","Agree","Agree","Agree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Sometimes","Often","Sometimes","Always","Rarely","Sometimes","Rarely","Sometimes","Often","Sometimes","Always","Always","Always","Completely unacceptable","Completely unacceptable","Neither acceptable or unacceptable","Somewhat unacceptable","Somewhat acceptable","Neither acceptable or unacceptable","Somewhat unacceptable","Somewhat unacceptable","Often","Often","Sometimes","Often","Often","Often","Often","Sometimes","Disagree","Neither agree nor disagree","Slightly disagree","Disagree","Agree","Neither agree nor disagree","Slightly agree","Neither agree nor disagree","Slightly agree","Slightly agree","Slightly disagree","Slightly disagree","Dissatisfied","Dissatisfied","Dissatisfied","Neither satisfied nor dissatisfied","Slightly dissatisfied","Slightly dissatisfied",159
"Prefer not to say","PhD student","Non-STEM","In the last year","6-10 years","More than 4 articles","Always","Often","Rarely","Often","Strongly agree","Agree","Neither agree nor disagree","Agree","Disagree","Strongly disagree","Agree","Disagree","Neither agree nor disagree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Disagree","Disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Somewhat disagree","Strongly disagree","Sometimes","Sometimes","Often","Sometimes","Rarely","Sometimes","Sometimes","Often","Often","Sometimes","Often","Often","Often","Somewhat unacceptable","Completely unacceptable","Somewhat unacceptable","Somewhat unacceptable","Somewhat acceptable","Completely unacceptable","Completely unacceptable","Neither acceptable or unacceptable","Rarely","Never","Rarely","Often","Often","Often","Often","Often","Agree","Agree","Agree","Agree","Disagree","Slightly agree","Slightly disagree","Neither agree nor disagree","Disagree","Disagree","Disagree","Strongly agree","Dissatisfied","Dissatisfied","Dissatisfied","Slightly satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied",160
"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years","","Rarely","Sometimes","Rarely","Rarely","Strongly disagree","Agree","Strongly disagree","Disagree","Disagree","Agree","Disagree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Strongly disagree","Strongly disagree","Agree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Rarely","Often","Rarely","Often","Always","Always","Often","Always","Always","Sometimes","Often","Often","Often","Somewhat unacceptable","Somewhat unacceptable","Somewhat acceptable","Somewhat acceptable","Completely acceptable","Somewhat unacceptable","Somewhat unacceptable","Somewhat acceptable","Often","Always","Sometimes","Often","Always","Always","Often","Often","Strongly agree","Slightly disagree","Slightly agree","Slightly agree","Slightly disagree","Slightly agree","Slightly agree","Slightly agree","Strongly disagree","Strongly disagree","Slightly agree","Disagree","Satisfied","Satisfied","Slightly satisfied","Very satisfied","Very satisfied","Satisfied",161
"Man","Post Doc","STEM (science, technology, engineering, mathematics)","This year","6-10 years","","Sometimes","Sometimes","Never","Sometimes","Disagree","Strongly disagree","Agree","Strongly disagree","Agree","Strongly agree","Agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Disagree","Strongly disagree","Disagree","Strongly disagree","Somewhat disagree","Strongly agree","Somewhat agree","Strongly agree","Strongly disagree","Somewhat disagree","Strongly agree","Rarely","Often","Rarely","Sometimes","Always","Always","Often","Always","Always","Often","Always","Always","Often","Completely unacceptable","Completely unacceptable","Somewhat acceptable","Somewhat unacceptable","Completely acceptable","Completely unacceptable","Neither acceptable or unacceptable","Somewhat unacceptable","Always","Often","Always","Always","Always","Always","Sometimes","Sometimes","Agree","Slightly agree","Slightly disagree","Agree","Disagree","Agree","Agree","Slightly disagree","Strongly disagree","Strongly disagree","Slightly agree","Strongly disagree","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Slightly dissatisfied","Satisfied","Slightly dissatisfied","Slightly dissatisfied",162
"Woman","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years","","Sometimes","Sometimes","Rarely","Sometimes","Neither agree nor disagree","Agree","Agree","Disagree","Disagree","Disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Agree","Agree","Agree","Neither agree nor disagree","Disagree","Agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Often","Sometimes","Sometimes","Rarely","Rarely","Rarely","Rarely","Rarely","Sometimes","Sometimes","Often","Often","Often","Neither acceptable or unacceptable","Completely unacceptable","Somewhat unacceptable","Somewhat acceptable","Neither acceptable or unacceptable","Somewhat unacceptable","Somewhat unacceptable","Completely unacceptable","Often","Often","Rarely","Often","Sometimes","Often","Often","Sometimes","Slightly agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Slightly agree","Slightly disagree","Agree","Slightly disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Neither satisfied nor dissatisfied","Slightly satisfied","Satisfied","Slightly satisfied","Satisfied","Satisfied",163
"Man","Associate Professor","Non-STEM","In the last 10 years","6-10 years","","Often","Sometimes","Rarely","Never","Agree","Strongly agree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Agree","Strongly disagree","Disagree","Neither agree nor disagree","Disagree","Disagree","Strongly agree","Agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Often","Sometimes","Sometimes","Often","Often","Sometimes","Neither acceptable or unacceptable","Somewhat acceptable","Neither acceptable or unacceptable","Neither acceptable or unacceptable","Neither acceptable or unacceptable","Somewhat unacceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Often","Sometimes","Often","Often","Often","Rarely","Sometimes","Often","Slightly agree","Slightly agree","Slightly disagree","Neither agree nor disagree","Agree","Slightly agree","Agree","Agree","Neither agree nor disagree","Slightly disagree","Neither agree nor disagree","Disagree","Dissatisfied","Dissatisfied","Very dissatisfied","Very dissatisfied","Slightly dissatisfied","Dissatisfied",164
"Woman","Post Doc","Non-STEM","In the last year","6-10 years","","Sometimes","Sometimes","Never","Often","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Agree","Disagree","Agree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Always","Always","Always","Never","Sometimes","Sometimes","Rarely","Often","Often","Rarely","Always","Often","Sometimes","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Somewhat acceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Somewhat acceptable","Sometimes","Rarely","Often","Often","Rarely","Always","Often","Sometimes","Disagree","Slightly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Slightly agree","Disagree","Strongly agree","Strongly agree","Disagree","Disagree","Very satisfied","Very satisfied","Slightly dissatisfied","Slightly satisfied","Slightly dissatisfied","Dissatisfied",165
"Woman","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","1-2 articles","Rarely","Sometimes","Never","Rarely","Disagree","Strongly disagree","Disagree","Disagree","Agree","Strongly agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Strongly agree","Strongly agree","Agree","Neither agree nor disagree","Disagree","Agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Rarely","Rarely","Rarely","Often","Always","Always","Always","Always","Always","Always","Always","Always","Always","Somewhat unacceptable","Completely unacceptable","Neither acceptable or unacceptable","Somewhat acceptable","Neither acceptable or unacceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Neither acceptable or unacceptable","Often","Often","Sometimes","Often","Always","Often","Sometimes","Sometimes","Slightly agree","Slightly disagree","Slightly agree","Slightly agree","Slightly disagree","Slightly agree","Slightly agree","Neither agree nor disagree","Slightly disagree","Slightly disagree","Neither agree nor disagree","Neither agree nor disagree","Slightly satisfied","Slightly satisfied","Slightly satisfied","Satisfied","Slightly dissatisfied","Slightly dissatisfied",166
"Woman","PhD student","Non-STEM","This year","1-5 years","3-4 articles","Rarely","Rarely","Rarely","Sometimes","Agree","Agree","Strongly agree","Disagree","Neither agree nor disagree","Disagree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Agree","Disagree","Disagree","Agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat disagree","Rarely","Sometimes","Sometimes","Rarely","Often","Always","Often","Often","Often","Often","Often","Often","Often","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat acceptable","Completely unacceptable","Completely unacceptable","Somewhat acceptable","Often","Often","Sometimes","Sometimes","Sometimes","Often","Often","Often","Slightly agree","Slightly agree","Slightly agree","Slightly agree","Slightly agree","Slightly agree","Slightly agree","Slightly agree","Slightly disagree","Slightly disagree","Slightly agree","Slightly disagree","Slightly dissatisfied","Slightly dissatisfied","Dissatisfied","Slightly satisfied","Satisfied","Slightly satisfied",167
"Man","Post Doc","STEM (science, technology, engineering, mathematics)","This year","More than 10 years","","Sometimes","Rarely","Never","Rarely","Agree","Disagree","Neither agree nor disagree","Disagree","Agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Rarely","Sometimes","Rarely","Often","Sometimes","Rarely","Never","Often","Sometimes","Sometimes","Always","Always","Often","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Somewhat acceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Always","Often","Sometimes","Always","Always","Always","Often","Always","Agree","Strongly disagree","Disagree","Agree","Disagree","Agree","Agree","Agree","Disagree","Strongly disagree","Agree","Strongly disagree","Slightly satisfied","Slightly satisfied","Slightly satisfied","Satisfied","Satisfied","Slightly satisfied",168
"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years","","Sometimes","Sometimes","Sometimes","Rarely","Neither agree nor disagree","Disagree","Disagree","Disagree","Agree","Agree","Neither agree nor disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Neither agree nor disagree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Rarely","Rarely","Rarely","Often","Often","Often","Rarely","Sometimes","Sometimes","Rarely","Often","Often","Often","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Often","Often","Sometimes","Often","Often","Often","Often","Often","Slightly agree","Slightly agree","Agree","Agree","Agree","Slightly agree","Slightly agree","Agree","Disagree","Disagree","Agree","Disagree","Satisfied","Satisfied","Dissatisfied","Dissatisfied","Slightly satisfied","Neither satisfied nor dissatisfied",169
"Woman","PhD student","STEM (science, technology, engineering, mathematics)","In the last year","1-5 years","3-4 articles","Sometimes","Sometimes","Rarely","Rarely","Strongly disagree","Strongly disagree","Agree","Agree","Agree","Disagree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Strongly disagree","Strongly agree","Disagree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Always","Often","Often","Always","Often","Always","Often","Always","Always","Sometimes","Never","Sometimes","Sometimes","Somewhat unacceptable","Neither acceptable or unacceptable","Somewhat unacceptable","Somewhat acceptable","Somewhat unacceptable","Completely unacceptable","Somewhat unacceptable","Somewhat unacceptable","Never","Never","Sometimes","Rarely","Sometimes","Often","Sometimes","Sometimes","Agree","Disagree","Agree","Slightly agree","Agree","Slightly agree","Disagree","Disagree","Disagree","Slightly disagree","Slightly agree","Strongly disagree","Slightly dissatisfied","Slightly dissatisfied","Slightly satisfied","Satisfied","Neither satisfied nor dissatisfied","Dissatisfied",170
"Woman","Assistant Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years","","Sometimes","Sometimes","Sometimes","Sometimes","Agree","Strongly agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Agree","Agree","Neither agree nor disagree","Agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Disagree","Neither agree nor disagree","Agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Always","Often","Often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Always","Sometimes","Often","Neither acceptable or unacceptable","Somewhat unacceptable","Somewhat unacceptable","Somewhat acceptable","Somewhat acceptable","Completely unacceptable","Somewhat unacceptable","Somewhat acceptable","Often","Often","Sometimes","Often","Often","Often","Often","Sometimes","Agree","Slightly agree","Slightly agree","Slightly agree","Slightly disagree","Agree","Strongly agree","Disagree","Disagree","Agree","Disagree","Slightly disagree","Satisfied","Satisfied","Satisfied","Slightly dissatisfied","Slightly dissatisfied","Neither satisfied nor dissatisfied",171
"Woman","Full Professor","Non-STEM","This year","More than 10 years","","Never","Never","Never","Never","Strongly disagree","Disagree","Disagree","Strongly disagree","Strongly agree","Strongly agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Neither agree nor disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Rarely","Rarely","Rarely","Often","Always","Always","Sometimes","Always","Always","Sometimes","Often","Always","Often","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Neither acceptable or unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Always","Often","Always","Always","Often","Always","Always","Always","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Disagree","Agree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Satisfied","Satisfied","Satisfied","Satisfied","Very satisfied","Very satisfied",172
"Man","Associate Professor","Non-STEM","This year","More than 10 years","","Sometimes","Never","Never","Never","Strongly disagree","Strongly disagree","Disagree","Disagree","Strongly agree","Agree","Neither agree nor disagree","Agree","Agree","Disagree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Sometimes","Rarely","Rarely","Often","Always","Rarely","Rarely","Sometimes","Always","Sometimes","Always","Always","Always","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Always","Always","Often","Often","Often","Always","Always","Always","Strongly agree","Neither agree nor disagree","Slightly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Disagree","Strongly disagree","Strongly disagree","Slightly disagree","Strongly disagree","Satisfied","Satisfied","Dissatisfied","Slightly dissatisfied","Satisfied","Slightly satisfied",173
"Man","Full Professor","Non-STEM","This year","More than 10 years","","Rarely","Rarely","Never","Sometimes","Neither agree nor disagree","Agree","Strongly agree","Strongly agree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Agree","Strongly agree","Agree","Strongly agree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Strongly disagree","Strongly disagree","Often","Often","Always","Never","Often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Always","Always","Often","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Often","Often","Rarely","Sometimes","Rarely","Rarely","Often","Often","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Strongly agree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Slightly dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Slightly dissatisfied",174
"Man","Full Professor","Non-STEM","In the last year","More than 10 years","","Sometimes","Rarely","Rarely","Rarely","Strongly disagree","Disagree","Strongly disagree","Strongly disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat disagree","Sometimes","Rarely","Rarely","Often","Always","Always","Rarely","Always","Often","Rarely","Always","Always","Always","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Completely unacceptable","Somewhat unacceptable","Somewhat unacceptable","Always","Always","Often","Always","Always","Always","Often","Often","Agree","Agree","Agree","Agree","Disagree","Agree","Slightly agree","Slightly disagree","Disagree","Disagree","Strongly disagree","Strongly disagree","Satisfied","Satisfied","Neither satisfied nor dissatisfied","Satisfied","Satisfied","Satisfied",175
"Man","This does not apply to me","Non-STEM","This year","6-10 years","","Rarely","Never","Rarely","Rarely","Neither agree nor disagree","Strongly disagree","Strongly agree","Neither agree nor disagree","Disagree","Strongly agree","Agree","Agree","Strongly agree","Agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Strongly disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat agree","Rarely","Often","Often","Sometimes","Sometimes","Sometimes","Rarely","Often","Often","Sometimes","Often","Often","Often","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat acceptable","Neither acceptable or unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Sometimes","Often","Sometimes","Sometimes","Sometimes","Often","Often","Often","Slightly disagree","Disagree","Slightly disagree","Agree","Slightly agree","Neither agree nor disagree","Agree","Slightly disagree","Disagree","Disagree","Disagree","Slightly disagree","Slightly satisfied","Slightly satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Slightly satisfied","Slightly satisfied",176
"Man","PhD student","Non-STEM","This year","1-5 years","3-4 articles","Sometimes","Rarely","Never","Sometimes","Agree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Strongly agree","Agree","Strongly agree","Strongly agree","Disagree","Disagree","Agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly disagree","Somewhat agree","Somewhat agree","Often","Often","Often","Often","Always","Always","Always","Always","Always","Always","Often","Often","Often","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Always","Always","Often","Always","Sometimes","Often","Often","Sometimes","Slightly agree","Disagree","Slightly disagree","Slightly disagree","Slightly agree","Disagree","Slightly disagree","Disagree","Slightly agree","Agree","Slightly agree","Slightly disagree","Slightly dissatisfied","Slightly satisfied","Slightly dissatisfied","Slightly satisfied","Slightly dissatisfied","Dissatisfied",177
"Woman","Assistant Professor","Non-STEM","This year","6-10 years","","Sometimes","Sometimes","Often","Often","Neither agree nor disagree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Agree","Disagree","Disagree","Disagree","Strongly disagree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly disagree","Somewhat agree","Strongly disagree","Strongly disagree","Rarely","Rarely","Rarely","Sometimes","Often","Sometimes","Sometimes","Sometimes","Often","Often","Often","Often","Often","Completely acceptable","Somewhat unacceptable","Somewhat acceptable","Somewhat acceptable","Somewhat unacceptable","Somewhat acceptable","Somewhat acceptable","Somewhat acceptable","Always","Always","Often","Always","Always","Always","Always","Always","Agree","Slightly agree","Disagree","Slightly disagree","Agree","Slightly agree","Strongly agree","Slightly disagree","Strongly disagree","Disagree","Slightly disagree","Strongly disagree","Slightly satisfied","Slightly satisfied","Slightly dissatisfied","Slightly dissatisfied","Slightly satisfied","Slightly satisfied",178
"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years","","Rarely","Rarely","Rarely","Rarely","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Agree","Agree","Disagree","Disagree","Agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Rarely","Rarely","Rarely","Often","Often","Sometimes","Sometimes","Often","Often","Rarely","Sometimes","Often","Sometimes","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Often","Often","Sometimes","Often","Often","Often","Often","Often","Agree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Agree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Satisfied","Satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied",179
